"p_avg","LONGITUDE","LATITUDE","GEO3major","BEDROCK","BIOME","CLAY","DENSITY","DEPTH","ELEVATION","MANPP","MAPRECIP","MATEMP","PH","SAND","SLOPE","SOC","SOIL.USDA","SOIL.WRB"
8,-98.0736084,32.1280556,"North America",1,9,260,157,752,377,3873,808,18,73,292,1,292,16,16
0.8,-98.0641251,27.2544537,"North America",1,8,97,158,577,34,4372,645,22,67,142,0,142,19,19
5.9,-98.0641251,27.2544537,"North America",1,8,97,158,577,34,4372,645,22,67,142,0,142,19,19
1.4,-98.0541611,27.3686943,"North America",1,8,90,159,1018,39,4907,649,22,67,162,0,162,16,16
0.9,-98.0471878,27.4119167,"North America",1,8,144,157,952,40,4728,654,22,70,173,0,173,16,16
3.1,-98.0471878,27.4119167,"North America",1,8,144,157,952,40,4728,654,22,70,173,0,173,16,16
8.7,-98.0465546,27.2963333,"North America",1,8,97,158,1018,34,4372,645,22,67,142,0,142,19,19
20.7,-98.0465546,27.2963333,"North America",1,8,97,158,1018,34,4372,645,22,67,142,0,142,19,19
7.1,-98.0272598,27.3751698,"North America",1,8,90,159,952,39,4907,649,22,67,162,0,162,16,16
1.1,-97.9951553,27.4154549,"North America",1,8,170,156,819,29,5089,663,22,70,177,0,177,16,16
3.8,-97.9951553,27.4154549,"North America",1,8,170,156,819,29,5089,663,22,70,177,0,177,16,16
0.3,-97.9791336,34.9597664,"North America",3,9,269,152,879,354,3065,810,16,66,280,1,280,16,16
0.5,-97.9791336,34.9597664,"North America",3,9,269,152,879,354,3065,810,16,66,280,1,280,16,16
1.2,-97.9791336,34.9597664,"North America",3,9,269,152,879,354,3065,810,16,66,280,1,280,16,16
1.1,-97.9188919,27.262619,"North America",1,8,91,161,668,26,4776,652,22,66,137,0,137,16,16
4.3,-97.9153595,27.2812519,"North America",1,8,78,161,775,18,4086,658,22,66,189,0,189,16,30
1.5,-97.8448715,27.3204975,"North America",1,8,140,162,735,19,4460,665,22,68,143,0,143,30,30
3.9,-97.8448715,27.3204975,"North America",1,8,140,162,735,19,4460,665,22,68,143,0,143,30,30
10,-97.8378296,27.3275719,"North America",1,8,140,162,735,19,4460,665,22,68,143,0,143,30,30
11,-97.7189178,26.3999443,"North America",1,8,217,156,948,12,2470,703,23,75,209,0,209,16,16
3,-97.7161942,26.398777,"North America",1,8,217,156,948,12,2470,703,23,75,209,0,209,16,16
14,-97.7143326,26.4004726,"North America",1,8,217,156,948,12,2470,703,23,75,209,0,209,16,16
22,-97.7137756,26.3999176,"North America",1,8,217,156,948,12,2470,703,23,75,209,0,209,16,16
38,-97.7122192,26.396389,"North America",1,8,217,156,948,12,2470,703,23,75,209,0,209,16,16
2,-97.3252487,28.1150551,"North America",1,8,300,156,1491,12,5191,885,22,69,349,0,349,16,30
7,-97.3252487,28.1150551,"North America",1,8,300,156,1491,12,5191,885,22,69,349,0,349,16,30
26.7,-95.3887787,33.1031952,"North America",3,5,200,144,1912,151,4784,1114,17,55,305,1,305,19,19
1.1,-95.1767807,31.4832535,"North America",1,6,180,137,1682,93,1168,1089,19,52,305,1,305,19,19
3.2,-95.1767807,31.4832535,"North America",1,6,180,137,1682,93,1168,1089,19,52,305,1,305,19,19
1,-95.1450729,31.2929974,"North America",1,6,156,136,1712,113,6302,1101,19,53,342,1,342,19,19
1.6,-95.1450729,31.2929974,"North America",1,6,156,136,1712,113,6302,1101,19,53,342,1,342,19,19
3.1,-95.1450729,31.2929974,"North America",1,6,156,136,1712,113,6302,1101,19,53,342,1,342,19,19
5.3,-94.7904663,31.5001659,"North America",1,6,131,134,1912,84,300,1127,19,54,333,1,333,19,19
6.4,-94.7904663,31.5001659,"North America",1,6,131,134,1912,84,300,1127,19,54,333,1,333,19,19
0.8,-94.7669678,31.5056133,"North America",1,6,131,134,1912,84,300,1127,19,54,333,1,333,19,19
3.4,-94.7669678,31.5056133,"North America",1,6,131,134,1912,84,300,1127,19,54,333,1,333,19,19
0.9,-94.7633057,31.5040283,"North America",1,6,131,134,1912,84,300,1127,19,54,333,1,333,19,19
4.2,-94.7633057,31.5040283,"North America",1,6,131,134,1912,84,300,1127,19,54,333,1,333,19,19
3,-94.7518616,32.2175827,"North America",3,6,102,138,1997,134,5668,1169,18,55,332,1,332,19,19
9,-94.7518616,32.2175827,"North America",3,6,102,138,1997,134,5668,1169,18,55,332,1,332,19,19
13,-94.5391693,32.1871643,"North America",3,6,143,140,1930,107,5814,1209,18,57,294,1,294,19,19
23,-94.5391693,32.1871643,"North America",3,6,143,140,1930,107,5814,1209,18,57,294,1,294,19,19
1,-94.5333328,33.213501,"North America",3,6,175,128,1611,108,5225,1204,17,52,362,1,362,19,19
7,-94.5333328,33.213501,"North America",3,6,175,128,1611,108,5225,1204,17,52,362,1,362,19,19
1,-94.4739304,32.3169899,"North America",3,6,144,137,1738,102,1234,1212,18,55,322,1,322,19,19
6,-94.348053,30.0669441,"North America",1,8,175,145,1439,13,7089,1413,20,54,380,0,380,30,30
1,-94.3352806,29.992775,"North America",1,8,348,156,1829,11,12545,1407,20,55,510,0,510,30,30
6,-94.3352806,29.992775,"North America",1,8,348,156,1829,11,12545,1407,20,55,510,0,510,30,30
5,-94.3352778,29.992775,"North America",1,8,348,156,1829,11,12545,1407,20,55,510,0,510,30,30
3,-94.3339462,33.0318336,"North America",3,6,175,130,1836,102,3671,1207,17,53,358,1,358,19,19
15,-94.3339462,33.0318336,"North America",3,6,175,130,1836,102,3671,1207,17,53,358,1,358,19,19
1,-94.3305556,29.9774972,"North America",1,8,348,156,1920,11,12545,1407,20,55,510,0,510,30,30
2,-94.3305556,29.9774972,"North America",1,8,348,156,1920,11,12545,1407,20,55,510,0,510,30,30
1,-94.317276,32.8222504,"North America",3,6,125,135,1515,89,4466,1201,18,53,309,1,309,1,1
1,-94.3150024,33.2375832,"North America",3,6,214,128,1608,101,3196,1203,17,55,415,1,415,19,19
5,-94.3150024,33.2375832,"North America",3,6,214,128,1608,101,3196,1203,17,55,415,1,415,19,19
2.8,-94.2566528,31.484602,"North America",1,6,95,136,1728,107,4595,1241,18,54,293,1,293,1,1
23,-94.2566528,31.484602,"North America",1,6,95,136,1728,107,4595,1241,18,54,293,1,293,1,1
4,-94.2506,34.3475,"North America",3,5,129,130,1365,303,1848,1443,15,54,434,2,434,3,3
7,-94.2506,34.3475,"North America",3,5,129,130,1365,303,1848,1443,15,54,434,2,434,3,3
1,-94.2444153,33.0786095,"North America",1,6,166,134,1773,100,5719,1205,17,54,328,1,328,1,1
2,-94.2444153,33.0786095,"North America",1,6,166,134,1773,100,5719,1205,17,54,328,1,328,1,1
2.1,-94.2112198,30.5357494,"North America",1,6,82,137,1031,39,12560,1383,19,49,398,0,398,1,1
1.3,-94.1825027,31.0381451,"North America",3,6,124,137,1054,59,3478,1279,19,51,321,1,321,1,1
1.5,-94.1825027,31.0381451,"North America",3,6,124,137,1054,59,3478,1279,19,51,321,1,321,1,1
1.2,-94.1706085,31.5380383,"North America",3,6,132,135,1444,125,5626,1255,18,54,348,1,348,19,19
5,-94.1514,34.2131,"North America",3,5,115,131,1263,207,1425,1402,16,54,361,1,361,3,3
13,-94.1514,34.2131,"North America",3,5,115,131,1263,207,1425,1402,16,54,361,1,361,3,3
8,-94.1359,33.8213,"North America",5,6,171,136,1603,108,4785,1280,17,55,334,1,334,3,3
14,-94.1359,33.8213,"North America",5,6,171,136,1603,108,4785,1280,17,55,334,1,334,3,3
4.1,-94.0831833,31.5988865,"North America",3,6,142,133,1394,118,1111,1268,18,53,321,1,321,1,1
5,-94.0406,33.3465,"North America",1,6,134,140,1763,92,5627,1165,17,56,291,1,291,19,19
8,-94.0406,33.3465,"North America",1,6,134,140,1763,92,5627,1165,17,56,291,1,291,19,19
9,-94.02722,33.8992,"North America",1,6,136,135,1353,111,3462,1314,16,53,299,1,299,19,19
10,-94.02722,33.8992,"North America",1,6,136,135,1353,111,3462,1314,16,53,299,1,299,19,19
3,-94.0128,33.3571,"North America",1,6,134,140,1763,92,5627,1165,17,56,291,1,291,19,19
7,-94.0128,33.3571,"North America",1,6,134,140,1763,92,5627,1165,17,56,291,1,291,19,19
1,-94.0063,33.3625,"North America",1,6,134,140,1763,92,5627,1165,17,56,291,1,291,19,19
4,-94.0063,33.3625,"North America",1,6,134,140,1763,92,5627,1165,17,56,291,1,291,19,19
6,-94.0056,33.8914,"North America",1,6,136,135,1353,111,3462,1314,16,53,299,1,299,3,19
10,-94.0056,33.8914,"North America",1,6,136,135,1353,111,3462,1314,16,53,299,1,299,3,19
0.8,-93.9877777,32.3488617,"North America",1,6,160,138,2009,84,6092,1271,18,54,325,1,325,19,19
1,-93.9877777,32.3488617,"North America",1,6,160,138,2009,84,6092,1271,18,54,325,1,325,19,19
3,-93.9877777,32.3488617,"North America",1,6,160,138,2009,84,6092,1271,18,54,325,1,325,19,19
5,-93.9869,33.9183,"North America",1,6,151,141,1437,128,2503,1328,16,54,307,1,307,3,3
8,-93.9869,33.9183,"North America",1,6,151,141,1437,128,2503,1328,16,54,307,1,307,3,3
7,-93.9842,34.0344,"North America",10,6,141,138,1286,162,5308,1361,16,54,341,1,341,3,3
10,-93.9842,34.0344,"North America",10,6,141,138,1286,162,5308,1361,16,54,341,1,341,3,3
4,-93.9794,33.9489,"North America",1,6,151,141,1437,128,2503,1328,16,54,307,1,307,3,3
8,-93.9794,33.9489,"North America",1,6,151,141,1437,128,2503,1328,16,54,307,1,307,3,3
46,-93.9792,33.9544,"North America",1,6,151,141,1286,128,2503,1328,16,54,307,1,307,3,3
50,-93.9792,33.9544,"North America",1,6,151,141,1286,128,2503,1328,16,54,307,1,307,3,3
13,-93.9775,34.0867,"North America",1,6,114,135,1095,171,1497,1381,16,55,342,1,342,3,3
14,-93.9775,34.0867,"North America",1,6,114,135,1095,171,1497,1381,16,55,342,1,342,3,3
13,-93.9697,33.8539,"North America",1,6,184,136,1442,96,5185,1289,17,55,309,0,309,3,3
20,-93.9697,33.8539,"North America",1,6,184,136,1442,96,5185,1289,17,55,309,0,309,3,3
9,-93.9694,33.8556,"North America",1,6,184,136,1442,96,5185,1289,17,55,309,0,309,3,3
2.3,-93.9668503,31.530899,"North America",3,6,100,131,1390,107,4024,1285,18,53,322,1,322,19,19
3.8,-93.9668503,31.530899,"North America",3,6,100,131,1390,107,4024,1285,18,53,322,1,322,19,19
5,-93.9639,33.8283,"North America",1,6,184,136,1442,96,5185,1289,17,55,309,0,309,3,3
14,-93.9639,33.8283,"North America",1,6,184,136,1442,96,5185,1289,17,55,309,0,309,3,3
13,-93.9453,33.9208,"North America",1,6,151,141,1437,128,2503,1328,16,54,307,1,307,3,3
5,-93.9448,33.0874,"North America",1,6,222,135,1833,96,5208,1213,17,54,320,1,320,1,19
6,-93.9448,33.0874,"North America",1,6,222,135,1833,96,5208,1213,17,54,320,1,320,1,19
2.1,-93.9257507,31.6192436,"North America",3,6,120,133,1430,106,6520,1278,18,52,326,1,326,19,19
4,-93.9257507,31.6192436,"North America",3,6,120,133,1430,106,6520,1278,18,52,326,1,326,19,19
8,-93.925,33.8111,"North America",1,6,184,136,1442,96,5185,1289,17,55,309,0,309,3,3
