"gbifID","p_avg","LATITUDE","LONGITUDE","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","BEDROCK","BIOME","CLAY","DENSITY","DEPTH","ELEVATION","MANPP","MAPRECIP","MATEMP","PH","SAND","SLOPE","SOC","SOIL.USDA","SOIL.WRB"
3469601953,24.73554741,-26.498415,151.50108,"5d7f5915-0561-4107-aa20-20a4267c203f","da280403-b697-4355-b11e-fb3b922671fc","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mays","mexicana","SUBSPECIES","Zea mays subsp. mexicana (Schrad.) Iltis","Zea mays subsp. mexicana","(Schrad.) Iltis","AU",8,8,376,130,1988,417,6052,708,19,65,215,2,215,18,19
3469600499,24.73554741,-26.498415,151.50108,"5d7f5915-0561-4107-aa20-20a4267c203f","422376e9-bf1c-473e-bcb8-af717b4cf865","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mays","mexicana","SUBSPECIES","Zea mays subsp. mexicana (Schrad.) Iltis","Zea mays subsp. mexicana","(Schrad.) Iltis","AU",8,8,376,130,1988,417,6052,708,19,65,215,2,215,18,19
3466842060,25.70691769,19.80954,-100.8906,"4ce8e3f9-2546-4af1-b28d-e2eadf05dfd4","ecaac62e-2d24-42d2-8633-454b6d148c4b","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mays","mexicana","SUBSPECIES","Zea mays subsp. mexicana (Schrad.) Iltis","Zea mays subsp. mexicana","(Schrad.) Iltis","MX",1,3,360,130,168,1964,18021,862,17,67,215,4,215,30,30
3466831540,25.70691769,19.80954,-100.8906,"4ce8e3f9-2546-4af1-b28d-e2eadf05dfd4","4e7dff17-0176-4937-bf32-dd54ca38f127","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mays","mexicana","SUBSPECIES","Zea mays subsp. mexicana (Schrad.) Iltis","Zea mays subsp. mexicana","(Schrad.) Iltis","MX",1,3,360,130,168,1964,18021,862,17,67,215,4,215,30,30
3464372303,23.26194559,19.716667,-101.233333,"a36438d0-bec7-4b7b-9bfa-2c31e7610c39","d108ca5b-1641-4a76-a1c6-f54dc0f683e3","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mexicana","mexicana","SUBSPECIES","Zea mays subsp. mexicana (Schrad.) Iltis","Zea mays subsp. mexicana","(Schrader) H.H. Iltis","US",2,3,322,116,3,2029,9025,813,17,63,479,1,479,30,30
3464371305,26.22255556,19.283333,-98.9,"a36438d0-bec7-4b7b-9bfa-2c31e7610c39","885b140b-6dae-4c6c-8a5a-2ea585b7baba","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mexicana","mexicana","SUBSPECIES","Zea mays subsp. mexicana (Schrad.) Iltis","Zea mays subsp. mexicana","(Schrader) H.H. Iltis","US",1,14,271,129,440,2257,24545,654,17,75,255,0,255,21,21
3347140549,17.71958382,26.1,-107,"d8cd16ba-bb74-4420-821e-083f2bac17c2","JQ900495","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mexicana","mexicana","SUBSPECIES","Zea mays subsp. mexicana (Schrad.) Iltis","Zea mays subsp. mexicana","","MX",11,4,208,117,214,2422,2734,992,13,59,478,8,478,19,19
3347115517,17.71958382,26.1,-107,"d8cd16ba-bb74-4420-821e-083f2bac17c2","JQ900506","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mexicana","mexicana","SUBSPECIES","Zea mays subsp. mexicana (Schrad.) Iltis","Zea mays subsp. mexicana","","MX",11,4,208,117,214,2422,2734,992,13,59,478,8,478,19,19
3347072533,22.25851636,19.5,-98.919998,"d8cd16ba-bb74-4420-821e-083f2bac17c2","JQ900497","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mexicana","mexicana","SUBSPECIES","Zea mays subsp. mexicana (Schrad.) Iltis","Zea mays subsp. mexicana","","MX",11,14,265,131,1189,2286,9503,597,16,71,247,1,247,6,21
3308732249,18.21436113,18.333,-100.083,"8016518a-f762-11e1-a439-00145eb45e9a","urn:catalog:IBUNAM:MEXU:00460515:c94254f84e4b3160de0f3c10744ad6ed","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mexicana","mexicana","SUBSPECIES","Zea mays subsp. mexicana (Schrad.) Iltis","Zea mays subsp. mexicana","(Schrad.) Iltis, 1972","MX",6,3,273,115,53,1363,9965,1146,23,62,435,11,435,17,17
