"LONGITUDE","LATITUDE","Total_P","SOC","SAND","CLAY","DEPTH","MAT","MAP","PH","NPP","SLOPE","ELEVATION","BIOMES","BEDROCK","SOIL_TYPE","WRB_SOIL_TYPE"
30.16667,13.31667,35.85026,1.208991,793.1034,123.1034,5,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,35.77615,1.107363,793.1034,123.1034,25,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,35.50115,1.000493,793.1034,123.1034,40,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,49.92926,1.29944,793.1034,123.1034,5,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,27.98141,1.496012,793.1034,123.1034,15,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,35.40495,1.195356,793.1034,123.1034,15,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,28.41361,0.9945994,793.1034,123.1034,25,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,43.37382,1.658875,793.1034,123.1034,25,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,44.9583,1.751894,793.1034,123.1034,40,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,41.2239,1.452657,793.1034,123.1034,25,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,48.83865,2.117308,793.1034,123.1034,15,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,47.06478,1.721365,793.1034,123.1034,5,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,38.61021,0.8564003,793.1034,123.1034,25,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,64.45233,3.042723,793.1034,123.1034,5,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,44.42369,2.471565,793.1034,123.1034,5,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,28.82969,1.232945,793.1034,123.1034,5,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,31.33259,1.227718,793.1034,123.1034,15,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,38.05522,1.220667,793.1034,123.1034,5,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,40.6133,1.354067,793.1034,123.1034,40,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,65.64438,2.882347,793.1034,123.1034,5,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,37.45605,1.426007,793.1034,123.1034,15,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,30.12281,1.032728,793.1034,123.1034,25,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
