"x","y","p_avg","SOC","MAP","MAT","SAND","CLAY","PH","BEDROCK","SOIL.TYPE","DEPTH","NPP","SLOPE","ELEVATION","BIOMES","EROIDX","TCEQ","CACO3"
17.19067,46.94058,30.4,101.189003,640.5919189,10.29667282,448.9708252,204.7605286,6.502092361,1,10,65,65535,1.250027966,172.1157227,6,3.20000004768372,112,0
17.21448,52.13985,39.8,10.77499986,506.9611206,8.648616791,731.1818848,74.45032501,6.002549648,1,10,65,65535,0.215545768,93.22924042,5,3.20000004768372,0,0
17.2283,-17.517099,0.69,2.5,567.5508423,22.39793015,885.6513062,70.78111267,6.538414955,1,12,65,5158,0.005134016,1145.403931,12,3.20000004768372,0,352
17.22914,52.77068,25.7,9.154000282,518.5947266,8.432824135,717.3875732,81.34698486,5.9671731,1,3,65,65535,0.236200245,97.88126373,5,3.20000004768372,0,0
17.23087,59.72388,59.9,28.63399982,570.416687,5.829232693,467.4038696,203.9705811,5.052411556,9,3,65,65535,0.420048624,31.8028183,3,1,0,0
17.24252,50.67597,22.5,10.27400017,573.1416626,8.416356087,388.3015747,168.4055481,6.391548634,1,9,65,65535,0.687978006,197.6662903,6,3.20000004768372,0,0
17.24751,49.2312,26.7,12.28000045,604.7011108,8.646822929,290.2786255,219.6995239,6.397753716,1,11,65,65535,2.040450648,296.2746277,6,3.20000004768372,0,60
17.2558,-17.502701,0.23,2.5,567.5508423,22.39793015,885.6513062,70.78111267,6.538414955,1,12,65,5158,0.005134016,1145.403931,12,3.20000004768372,0,352
17.28836,53.83209,70,13.07000041,585.6989136,7.375304222,715.9127808,86.73729706,5.509570122,1,10,65,65535,0.526809432,152.2681274,6,3.20000004768372,0,0
17.28916,59.82935,43.4,28.63399982,570.416687,5.829232693,467.4038696,203.9705811,5.052411556,9,3,65,65535,0.420048624,31.8028183,3,1,0,0
17.30056,40.88482,52.3,9.846153855,575.1351318,15.04781342,285.8863831,279.252594,7.358412743,6,10,65,65535,1.932349702,235.6499786,7,1,0,180
17.30197,47.54759,37.6,60.97000122,554.3130493,10.1936636,426.3074951,234.6108551,7.149567127,1,9,65,65535,0.334745301,127.4115143,5,3.20000004768372,0,0
17.31124,52.54906,29.8,9.154000282,518.5947266,8.432824135,717.3875732,81.34698486,5.9671731,1,3,65,65535,0.236200245,97.88126373,5,3.20000004768372,0,0
17.31254,62.072313,29.6,52.69999981,702.9784546,3.767035484,560.2094727,80.81336212,4.752195835,9,3,65,65535,2.448384281,121.1480789,4,1,0,0
17.32393,52.96266,77.3,9.154000282,518.5947266,8.432824135,717.3875732,81.34698486,5.9671731,1,3,65,65535,0.236200245,97.88126373,5,3.20000004768372,0,0
17.32973,59.51979,29.3,28.63399982,570.416687,5.829232693,467.4038696,203.9705811,5.052411556,9,3,65,65535,0.420048624,31.8028183,3,1,0,0
17.38967,54.06067,21.7,8.407999873,628.7374878,7.238839149,688.9133301,86.25500488,5.318343163,1,11,65,5716,0.787528059,117.7776871,6,3.20000004768372,0,0
17.47075,50.6794,44.8,10.27400017,573.1416626,8.416356087,388.3015747,168.4055481,6.391548634,1,9,65,65535,0.687978006,197.6662903,6,3.20000004768372,0,0
17.50249,62.697107,84.1,52.69999981,701.0155029,3.126766682,559.9303589,71.92321014,4.685466766,8,3,65,65535,2.718400337,138.6545563,3,1,0,0
17.51058,52.50055,27.6,59.13400173,522.8902588,8.419475555,705.142395,84.30534363,6.009184837,1,10,65,65535,0.254093815,101.1546936,5,3.20000004768372,0,0
17.51794,52.71674,30,59.13400173,522.8902588,8.419475555,705.142395,84.30534363,6.009184837,1,10,65,65535,0.254093815,101.1546936,5,3.20000004768372,0,0
17.53132,48.20065,30.1,13.47800016,575.5411377,9.924676895,353.1530151,238.2727661,7.160549641,1,9,65,65535,0.933866314,166.0785828,5,3.20000004768372,117,476
17.55238,50.65597,23.3,13.39599967,596.6383057,8.482761383,581.9168091,128.3645935,5.952045918,1,12,65,65535,0.37216267,173.6365662,6,3.20000004768372,0,20
17.55357,52.75097,40.2,59.13400173,522.8902588,8.419475555,705.142395,84.30534363,6.009184837,1,10,65,65535,0.254093815,101.1546936,5,3.20000004768372,0,0
17.55566,59.41718,61.5,15.38888931,561.3707886,6.286843777,521.7160645,187.5713806,5.028939247,8,6,65,65535,0.728500905,28.70649719,0,1,0,0
17.577722,66.070172,79.3,52.69999981,581.1989136,-0.99734956,532.2411499,85.38210297,4.818090916,7,11,65,65535,2.927073231,508.7843628,2,1.10000002384186,0,153
17.5912,51.06882,31.3,20.80500126,571.4983521,8.30396843,612.2752075,93.83920288,5.772789001,1,11,65,5110,0.40464683,169.0142212,6,3.20000004768372,0,0
17.59923,63.23623,27,52.69999981,646.3173218,2.40346837,554.503479,70.98636627,4.643253326,8,3,65,65535,3.310036158,225.4740753,4,1,0,90
17.60426,62.94582,95.3,52.69999981,701.0155029,3.126766682,559.9303589,71.92321014,4.685466766,8,3,65,65535,2.718400337,138.6545563,3,1,0,0
17.611401,-19.680599,1.83,3.926999867,524.901123,20.16430473,647.8009644,204.9663086,7.039673805,6,12,65,65535,1.808389224,1426.04126,10,1,18,300
17.63997,52.22141,32.3,11.43000007,508.1897278,8.724077225,720.7853394,80.59585571,6.002064705,1,10,65,5138,0.177715499,99.75032806,5,3.20000004768372,0,0
17.6507,52.45427,32.5,11.43000007,508.1897278,8.724077225,720.7853394,80.59585571,6.002064705,1,10,65,5138,0.177715499,99.75032806,5,3.20000004768372,0,0
17.657,-17.505501,0.517,2.5,584.9066772,22.379776,893.9420166,56.24633026,6.561243057,1,12,65,5155,0.009266169,1149.487061,12,3.20000004768372,0,303
17.67347,52.92355,35.8,59.13400173,522.8902588,8.419475555,705.142395,84.30534363,6.009184837,1,10,65,65535,0.254093815,101.1546936,5,3.20000004768372,0,0
17.686564,64.484147,19,52.69999981,640.0046997,0.85683912,540.0663452,62.20112228,4.732326508,8,3,65,4622,2.601871753,398.9844055,4,1,0,90
17.69132,51.15255,28.6,20.80500126,571.4983521,8.30396843,612.2752075,93.83920288,5.772789001,1,11,65,5110,0.40464683,169.0142212,6,3.20000004768372,0,0
17.69252,48.37024,14.9,13.47800016,575.5411377,9.924676895,353.1530151,238.2727661,7.160549641,1,9,65,65535,0.933866314,166.0785828,5,3.20000004768372,117,476
17.69744,46.43536,10.3,8.083000183,660.2022095,10.81068039,499.1027832,190.6309814,6.571004391,1,8,65,65535,0.856687593,163.9373932,6,1.20000004768372,0,0
17.70902,48.47754,16.1,13.47800016,575.5411377,9.924676895,353.1530151,238.2727661,7.160549641,1,9,65,65535,0.933866314,166.0785828,5,3.20000004768372,117,476
17.71464,63.067237,19.5,52.69999981,646.3173218,2.40346837,554.503479,70.98636627,4.643253326,8,3,65,65535,3.310036158,225.4740753,4,1,0,90
17.731997,59.099905,24.6,15.38888931,561.3707886,6.286843777,521.7160645,187.5713806,5.028939247,8,6,65,65535,0.728500905,28.70649719,0,1,0,0
17.73395,48.63844,22.7,13.38999987,665.1160889,8.561250687,308.5300293,230.2631836,6.224676132,3,10,65,65535,3.089908755,318.1118469,6,1.39999997615814,NA,1281
17.73851,64.97207,42.3,52.69999981,653.7474976,0.696186364,547.0960083,59.74316406,4.705375671,9,3,65,65535,2.282337982,423.6087646,4,1,0,90
17.73904,63.465087,25.4,52.69999981,646.3173218,2.40346837,554.503479,70.98636627,4.643253326,8,3,65,65535,3.310036158,225.4740753,4,1,0,90
17.74863,51.6731,75.3,13.4070003,524.4897461,8.581783295,689.5265503,84.31838989,5.864212513,1,10,65,65535,0.293708483,129.7937469,5,3.20000004768372,0,0
17.750601,-17.480499,1.36,3.140000105,639.2349854,22.44937134,888.8713989,60.79436111,6.434288502,1,10,65,5152,0.040312805,1162.330322,12,3.20000004768372,0,10
17.75261,48.58291,41.7,13.38999987,665.1160889,8.561250687,308.5300293,230.2631836,6.224676132,3,10,65,65535,3.089908755,318.1118469,6,1.39999997615814,NA,1281
17.755893,59.207122,17.2,15.38888931,561.3707886,6.286843777,521.7160645,187.5713806,5.028939247,8,6,65,65535,0.728500905,28.70649719,0,1,0,0
